"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.21886,6.9643,0.65006,75.0,23.0,180.0,6.998,254260285.0
0.16518,5.2562,-1.3767,7.0,24.0,180.0,5.436,254260285.0
0.21926,6.977,0.81631,82.0,25.0,180.0,7.028,254260285.0
0.18241,5.8043,-1.376,3.0,26.0,180.0,5.968,254260285.0
0.21886,6.9641,0.97922,78.0,27.0,180.0,7.036,254260285.0
0.20333,6.4702,-1.376,7.0,28.0,180.0,6.618,254260285.0
0.2187,6.9592,1.1439,80.0,29.0,180.0,7.056,254260285.0
0.2186,6.9561,-1.3112,70.0,30.0,180.0,7.082,254260285.0
0.21854,6.9542,1.3109,69.0,31.0,180.0,7.08,254260285.0
0.078545,2.2952,-1.3619,3.0,0.0,196.0,2.67,254260285.0
0.21971,6.4201,-1.0554,2.0,1.0,196.0,6.51,254260285.0
0.082952,2.424,-1.3627,3.0,2.0,196.0,2.782,254260285.0
0.23749,6.9397,-0.97588,81.0,3.0,196.0,7.012,254260285.0
0.087273,2.5502,-1.3568,3.0,4.0,196.0,2.89,254260285.0
0.23813,6.9585,-0.81422,49.0,5.0,196.0,7.01,254260285.0
0.092667,2.7078,-1.3609,4.0,6.0,196.0,3.032,254260285.0
0.23804,6.9557,-0.64931,68.0,7.0,196.0,6.99,254260285.0
0.099047,2.8943,-1.3708,3.0,8.0,196.0,3.204,254260285.0
0.23774,6.947,-0.48606,69.0,9.0,196.0,6.968,254260285.0
0.10523,3.075,-1.3699,5.0,10.0,196.0,3.368,254260285.0
0.23717,6.9304,-0.32338,70.0,11.0,196.0,6.942,254260285.0
0.1121,3.2757,-1.369,3.0,12.0,196.0,3.552,254260285.0
